LHD, Rax=3.75m (case1)

rho	q	
0.020000	2.7767								
0.040000	2.7746								
0.060000	2.7720								
0.080000	2.7683								
0.10000	2.7631								
0.12000	2.7558								
0.14000	2.7459								
0.16000	2.7329								
0.18000	2.7162								
0.20000	2.6952								
0.22000	2.6706								
0.24000	2.6432								
0.26000	2.6132								
0.28000	2.5806								
0.30000	2.5457								
0.32000	2.5086								
0.34000	2.4694								
0.36000	2.4282								
0.38000	2.3851								
0.40000	2.3401								
0.42000	2.2935								
0.44000	2.2453								
0.46000	2.1956								
0.48000	2.1447								
0.50000	2.0927								
0.52000	2.0397								
0.54000	1.9858								
0.56000	1.9314								
0.58000	1.8764								
0.60000	1.8211								
0.62000	1.7655								
0.64000	1.7099								
0.65000	1.6820								
0.66000	1.6542								
0.68000	1.5986								
0.70000	1.5432								
0.72000	1.4879								
0.74000	1.4330								
0.76000	1.3784								
0.78000	1.3242								
0.80000	1.2703								
0.82000	1.2169								
0.84000	1.1638								
0.86000	1.1111								
0.88000	1.0588								
0.90000	1.0068								
0.92000	0.95497								
0.94000	0.90333								
0.96000	0.85171								
0.98000	0.79996								
1.0000	0.74795								
